type	info	confidence	predicate_id	subject_id	subject_label	object_id	object_label
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0030935	mitochondrial complex 2 deficiency, nuclear type 2	https://omim.org/entry/619166	mitochondrial complex 2 deficiency, nuclear  iia 2
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0005036	gastric adenocarcinoma	http://purl.obolibrary.org/obo/DOID_3717	gastric adenocarcinoma
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0004396	cervical spinal canal and spinal cord meningioma	http://purl.obolibrary.org/obo/DOID_7915	cervical spinal canal and spinal cord meningioma
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0020785	capillary malformation-arteriovenous malformation 2	https://omim.org/entry/618196	capillary malformation-arteriovenous malformation 2
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0000214	hypermanganesemia with dystonia	http://purl.obolibrary.org/obo/DOID_0080535	hypermanganesemia with dystonia
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0003825	kidney oncocytoma	http://purl.obolibrary.org/obo/DOID_6245	renal oncocytoma
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0018096	Weill-Marchesani syndrome	http://purl.obolibrary.org/obo/DOID_0050475	Weill-Marchesani syndrome
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0011607	narcolepsy 2, susceptibility to	https://omim.org/entry/605841	narcolepsy 2, susceptibility to
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0014504	Perrault syndrome 5	https://omim.org/entry/616138	perrault syndrome 5
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0020723	vitamin D-dependent rickets, type 1A	https://omim.org/entry/264700	vitamin d hydroxylation-deficient rickets,  iia 1a
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0010114	thanatophoric dysplasia, Glasgow variant	https://omim.org/entry/273680	thanatophoric dysplasia, glasgow variant
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0006085	angiolipoma	http://purl.obolibrary.org/obo/DOID_3616	angiolipoma
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0011180	broad terminal phalanges, familial	https://omim.org/entry/602071	broad terminal phalanges, familial
NEW	None	1.0	skos:exactMatch	http://purl.obolibrary.org/obo/MONDO_0032673	basal ganglia calcification, idiopathic, 7, autosomal recessive	https://omim.org/entry/618317	basal ganglia calcification, idiopathic, 7, autosomal recessive
