# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   omim: https://omim.org/entry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/534ef529-f389-45e2-b48e-ac8fc9034628
subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence
HP:0005506	Chronic myelogenous leukemia	oboInOwl:hasDbXref	DOID:8552	semapv:UnspecifiedMatching	0.8
MONDO:0000001	disease or disorder	oboInOwl:hasDbXref	DOID:4	semapv:UnspecifiedMatching	0.8
MONDO:0000001	disease or disorder	skos:exactMatch	DOID:4	semapv:UnspecifiedMatching	0.8
MONDO:0000004	adrenocortical insufficiency	oboInOwl:hasDbXref	DOID:10493	semapv:UnspecifiedMatching	0.8
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	DOID:10493	semapv:UnspecifiedMatching	0.8
MONDO:0000009	inherited bleeding disorder, platelet-type	oboInOwl:hasDbXref	DOID:2218	semapv:UnspecifiedMatching	0.8
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	DOID:2218	semapv:UnspecifiedMatching	0.8
MONDO:0000032	febrile seizures, familial	oboInOwl:hasDbXref	DOID:0111297	semapv:UnspecifiedMatching	0.8
MONDO:0000032	febrile seizures, familial	skos:exactMatch	DOID:0111297	semapv:UnspecifiedMatching	0.8
MONDO:0000050	isolated congenital growth hormone deficiency	oboInOwl:hasDbXref	DOID:0060870	semapv:UnspecifiedMatching	0.8
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	DOID:0060870	semapv:UnspecifiedMatching	0.8
MONDO:0000062	isolated microphthalmia	oboInOwl:hasDbXref	DOID:0080637	semapv:UnspecifiedMatching	0.8
MONDO:0000062	isolated microphthalmia	skos:exactMatch	DOID:0080637	semapv:UnspecifiedMatching	0.8
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	oboInOwl:hasDbXref	DOID:0080655	semapv:UnspecifiedMatching	0.8
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	skos:exactMatch	DOID:0080655	semapv:UnspecifiedMatching	0.8
MONDO:0000127	geleophysic dysplasia	oboInOwl:hasDbXref	DOID:0111724	semapv:UnspecifiedMatching	0.8
MONDO:0000127	geleophysic dysplasia	skos:exactMatch	DOID:0111724	semapv:UnspecifiedMatching	0.8
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oboInOwl:hasDbXref	DOID:0090007	semapv:UnspecifiedMatching	0.8
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	DOID:0090007	semapv:UnspecifiedMatching	0.8
MONDO:0000160	epilepsy, familial adult myoclonic	oboInOwl:hasDbXref	DOID:0111689	semapv:UnspecifiedMatching	0.8
MONDO:0000160	epilepsy, familial adult myoclonic	skos:exactMatch	DOID:0111689	semapv:UnspecifiedMatching	0.8
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oboInOwl:hasDbXref	DOID:0050560	semapv:UnspecifiedMatching	0.8
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	DOID:0050560	semapv:UnspecifiedMatching	0.8
MONDO:0000193	cortisone reductase deficiency	oboInOwl:hasDbXref	DOID:0090139	semapv:UnspecifiedMatching	0.8
MONDO:0000193	cortisone reductase deficiency	skos:exactMatch	DOID:0090139	semapv:UnspecifiedMatching	0.8
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	skos:exactMatch	omim:616033	semapv:UnspecifiedMatching	0.8
MONDO:0000214	hypermanganesemia with dystonia	oboInOwl:hasDbXref	DOID:0080535	semapv:UnspecifiedMatching	0.8
MONDO:0000214	hypermanganesemia with dystonia	skos:exactMatch	DOID:0080535	semapv:UnspecifiedMatching	0.8
MONDO:0000222	seminal vesicle acute gonorrhea	oboInOwl:hasDbXref	DOID:0050004	semapv:UnspecifiedMatching	0.8
MONDO:0000222	seminal vesicle acute gonorrhea	skos:exactMatch	DOID:0050004	semapv:UnspecifiedMatching	0.8
MONDO:0000224	acquired carbohydrate metabolism disease	oboInOwl:hasDbXref	DOID:0050013	semapv:UnspecifiedMatching	0.8
MONDO:0000224	acquired carbohydrate metabolism disease	skos:exactMatch	DOID:0050013	semapv:UnspecifiedMatching	0.8
MONDO:0000225	human monocytic ehrlichiosis	oboInOwl:hasDbXref	DOID:0050026	semapv:UnspecifiedMatching	0.8
MONDO:0000225	human monocytic ehrlichiosis	skos:exactMatch	DOID:0050026	semapv:UnspecifiedMatching	0.8
MONDO:0000227	African tick-bite fever	oboInOwl:hasDbXref	DOID:0050035	semapv:UnspecifiedMatching	0.8
MONDO:0000227	African tick-bite fever	skos:exactMatch	DOID:0050035	semapv:UnspecifiedMatching	0.8
MONDO:0000229	Indian tick typhus	oboInOwl:hasDbXref	DOID:0050042	semapv:UnspecifiedMatching	0.8
MONDO:0000229	Indian tick typhus	skos:exactMatch	DOID:0050042	semapv:UnspecifiedMatching	0.8
MONDO:0000230	Israeli tick typhus	oboInOwl:hasDbXref	DOID:0050043	semapv:UnspecifiedMatching	0.8
MONDO:0000230	Israeli tick typhus	skos:exactMatch	DOID:0050043	semapv:UnspecifiedMatching	0.8
MONDO:0000231	Far eastern spotted fever	oboInOwl:hasDbXref	DOID:0050046	semapv:UnspecifiedMatching	0.8
MONDO:0000231	Far eastern spotted fever	skos:exactMatch	DOID:0050046	semapv:UnspecifiedMatching	0.8
MONDO:0000232	Flinders island spotted fever	oboInOwl:hasDbXref	DOID:0050047	semapv:UnspecifiedMatching	0.8
MONDO:0000232	Flinders island spotted fever	skos:exactMatch	DOID:0050047	semapv:UnspecifiedMatching	0.8
MONDO:0000233	Japanese spotted fever	oboInOwl:hasDbXref	DOID:0050050	semapv:UnspecifiedMatching	0.8
MONDO:0000233	Japanese spotted fever	skos:exactMatch	DOID:0050050	semapv:UnspecifiedMatching	0.8
MONDO:0000234	Rickettsia parkeri spotted fever	oboInOwl:hasDbXref	DOID:0050051	semapv:UnspecifiedMatching	0.8
MONDO:0000234	Rickettsia parkeri spotted fever	skos:exactMatch	DOID:0050051	semapv:UnspecifiedMatching	0.8
MONDO:0000236	oropharyngeal anthrax	oboInOwl:hasDbXref	DOID:0050059	semapv:UnspecifiedMatching	0.8
MONDO:0000236	oropharyngeal anthrax	skos:exactMatch	DOID:0050059	semapv:UnspecifiedMatching	0.8
MONDO:0000238	obsolete pestis minor	oboInOwl:hasDbXref	DOID:0050068	semapv:UnspecifiedMatching	0.8
MONDO:0000238	obsolete pestis minor	skos:exactMatch	DOID:0050068	semapv:UnspecifiedMatching	0.8
MONDO:0000239	adiaspiromycosis	oboInOwl:hasDbXref	DOID:0050072	semapv:UnspecifiedMatching	0.8
MONDO:0000239	adiaspiromycosis	skos:exactMatch	DOID:0050072	semapv:UnspecifiedMatching	0.8
MONDO:0000240	invasive aspergillosis	oboInOwl:hasDbXref	DOID:0050073	semapv:UnspecifiedMatching	0.8
MONDO:0000240	invasive aspergillosis	skos:exactMatch	DOID:0050073	semapv:UnspecifiedMatching	0.8
MONDO:0000241	Keshan disease	oboInOwl:hasDbXref	DOID:0050083	semapv:UnspecifiedMatching	0.8
MONDO:0000241	Keshan disease	skos:exactMatch	DOID:0050083	semapv:UnspecifiedMatching	0.8
MONDO:0000242	tinea barbae	oboInOwl:hasDbXref	DOID:0050096	semapv:UnspecifiedMatching	0.8
MONDO:0000242	tinea barbae	skos:exactMatch	DOID:0050096	semapv:UnspecifiedMatching	0.8
MONDO:0000243	ectothrix infectious disease	oboInOwl:hasDbXref	DOID:0050097	semapv:UnspecifiedMatching	0.8
MONDO:0000243	ectothrix infectious disease	skos:exactMatch	DOID:0050097	semapv:UnspecifiedMatching	0.8
MONDO:0000244	endothrix infectious disease	oboInOwl:hasDbXref	DOID:0050105	semapv:UnspecifiedMatching	0.8
MONDO:0000244	endothrix infectious disease	skos:exactMatch	DOID:0050105	semapv:UnspecifiedMatching	0.8
MONDO:0000245	tinea imbricata	oboInOwl:hasDbXref	DOID:0050116	semapv:UnspecifiedMatching	0.8
MONDO:0000245	tinea imbricata	skos:exactMatch	DOID:0050116	semapv:UnspecifiedMatching	0.8
MONDO:0000248	dengue shock syndrome	oboInOwl:hasDbXref	DOID:0050125	semapv:UnspecifiedMatching	0.8
MONDO:0000248	dengue shock syndrome	skos:exactMatch	DOID:0050125	semapv:UnspecifiedMatching	0.8
MONDO:0000249	secretory diarrhea	oboInOwl:hasDbXref	DOID:0050129	semapv:UnspecifiedMatching	0.8
MONDO:0000249	secretory diarrhea	skos:exactMatch	DOID:0050129	semapv:UnspecifiedMatching	0.8
MONDO:0000250	osmotic diarrheal disease	oboInOwl:hasDbXref	DOID:0050130	semapv:UnspecifiedMatching	0.8
MONDO:0000250	osmotic diarrheal disease	skos:exactMatch	DOID:0050130	semapv:UnspecifiedMatching	0.8
MONDO:0000252	inflammatory diarrhea	oboInOwl:hasDbXref	DOID:0050132	semapv:UnspecifiedMatching	0.8
MONDO:0000252	inflammatory diarrhea	skos:exactMatch	DOID:0050132	semapv:UnspecifiedMatching	0.8
MONDO:0000254	cutaneous mycosis	oboInOwl:hasDbXref	DOID:0050134	semapv:UnspecifiedMatching	0.8
